"fname","label","percentage"
"clip_e011c0328.wav","16","0.36108136353883563"
"clip_de663a876.wav","16","0.36108136353883563"
"clip_621f1cee4.wav","14","0.3420296476127985"
"clip_4df50536c.wav","16","0.33593872175416634"
"clip_f2020b86c.wav","5","0.23813786006854606"
"clip_459c990f0.wav","16","0.33593872175416634"
"clip_0abeeab88.wav","7","0.30094963922305434"
"clip_ad1445b79.wav","17","0.26282158288737845"
"clip_471a39d5d.wav","15","0.3611145952311365"
"clip_c887c5b59.wav","20","0.31791588709041607"
"clip_4eda13c20.wav","20","0.31791588709041607"
"clip_5ce8a13d1.wav","0","0.3906624599923113"
"clip_521c0fe6c.wav","17","0.32097252675715326"
"clip_54ff18c33.wav","20","0.2889069597281894"
"clip_aea6e15f3.wav","1","0.43925507873212943"
"clip_73f48818d.wav","0","0.39365306281116075"
"clip_d9e78bdc3.wav","20","0.4355630475577882"
"clip_4d864fada.wav","8","0.459668667882382"
"clip_95933c78a.wav","1","0.4093367603482233"
"clip_1beb285bf.wav","28","0.44946902415110973"
"clip_82f59d61f.wav","24","0.36794584309875616"
"clip_4da0bd17e.wav","14","0.3665946437736645"
"clip_82efc6b8d.wav","9","0.40352523979447374"
"clip_104f77a81.wav","9","0.3392723277122475"
"clip_6c3fce26b.wav","16","0.33431578467954176"
"clip_8a7839c52.wav","1","0.35859870857212556"
"clip_5015342ae.wav","8","0.17566550171371975"
"clip_8694448c3.wav","2","0.4568452580923295"
"clip_ff6d4a6cc.wav","15","0.49524508274938694"
"clip_78267d1fa.wav","0","0.3246437983179378"
"clip_a86c15741.wav","22","0.276395878986011"
"clip_93c4433d4.wav","16","0.40441084194638094"
"clip_d1e884718.wav","16","0.40441084194638094"
"clip_ba616898f.wav","9","0.3278689176607179"
"clip_f7f4c3fbd.wav","1","0.18854282869882524"
"clip_645a54a10.wav","28","0.37804543635246524"
"clip_672f5c617.wav","24","0.17132109961341702"
"clip_30a7ce39e.wav","9","0.2933295524900546"
"clip_4b63339db.wav","1","0.1653678391406328"
"clip_632826c88.wav","8","0.4999597079313427"
"clip_ccd8984e7.wav","6","0.3816943038451516"
"clip_3cce0a5d7.wav","14","0.278661192658729"
"clip_f0cc6ff26.wav","22","0.23023694886246635"
"clip_02a06bc93.wav","20","0.4295662560707424"
"clip_94d91fbec.wav","16","0.4841851450697098"
"clip_a88f33e5a.wav","29","0.4718001838692351"
"clip_1b1724b1f.wav","16","0.4841851450697098"
"clip_828a9665f.wav","20","0.3680784196417265"
"clip_e8b20c0c1.wav","25","0.4911343144214303"
"clip_ef4853b32.wav","20","0.40919429865087475"
"clip_f4f63e893.wav","10","0.26764066800384717"
"clip_49105bd61.wav","0","0.17902738201670734"
"clip_568042c12.wav","5","0.16059933151133993"
"clip_509abd7b3.wav","20","0.3344929407646969"
"clip_9daf96b73.wav","22","0.4184297193132345"
"clip_f46be0758.wav","22","0.35196508150900047"
"clip_d350e0ec4.wav","1","0.4433247441844827"
"clip_7b264396d.wav","22","0.3195180156085374"
"clip_2544f8458.wav","6","0.2717971972712334"
"clip_095fcdc58.wav","9","0.3166281332018888"
"clip_b52890142.wav","9","0.3166281332018888"
"clip_e0a9900b6.wav","12","0.3589523257319301"
"clip_5f27d1a4c.wav","16","0.36177926793909815"
"clip_fc586ee4a.wav","21","0.403118966014442"
"clip_4a02fb8e7.wav","16","0.36177926793909815"
"clip_05dc1e681.wav","15","0.4014800570925143"
"clip_cae1b9ce8.wav","1","0.2261451507104877"
"clip_4d6dbf475.wav","13","0.3676661939992516"
"clip_fdb88ed4b.wav","14","0.3818136274432706"
"clip_51e4a12f7.wav","9","0.3271552213881367"
"clip_b495379bb.wav","1","0.2568873167781255"
